n;v;g;d;l;P;h
1;2.5;10;0.3;0;1.5;0.15
2;5;10;0.3;0;1;2.65
3;2.5;16;0.3;0;1;0.75
4;5;16;0.3;0;1.5;0.05
5;2.5;10;1.1;0;1;1.2
6;5;10;1.1;0;1.5;0.65
7;2.5;16;1.1;0;1.5;11
8;5;16;1.1;0;1;2.95
9;2.5;10;0.3;1.5;1;0.7
10;5;10;0.3;1.5;1.5;0
11;2.5;16;0.3;1.5;1.5;0
12;5;16;0.3;1.5;1;2.1
13;2.5;10;1.1;1.5;1.5;0.5
14;5;10;1.1;1.5;1;1.5
15;2.5;16;1.1;1.5;1;0.45
16;5;16;1.1;1.5;1.5;0
17;1.5;13;0.7;0.75;1.25;0
18;6;13;0.7;0.75;1.25;1.95
19;3.75;8;0.7;0.75;1.25;0.15
20;3.75;18;0.7;0.75;1.25;0.45
21;3.75;13;0.3;0.75;1.25;0.3
22;3.75;13;1.1;0.75;1.25;0.65
23;3.75;13;0.7;0;1.25;0.75
24;3.75;13;0.7;1.5;1.25;0
25;3.75;13;0.7;0.75;1;1.3
26;3.75;13;0.7;0.75;1.5;0
27;3.75;13;0.7;0.75;1.25;0.3
28;3.75;13;0.7;0.75;1.25;0.25
29;3.75;13;0.7;0.75;1.25;0.4
